Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
Afghanistan,AFG       ,World,WLD,"Currency composition of PPG debt, Multiple currencies (%)",DT.CUR.MULC.ZS,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"Currency composition of PPG debt, Pound sterling (%)",DT.CUR.UKPS.ZS,,,,,,,2.7342,1.3493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"Currency composition of PPG debt, SDR (%)",DT.CUR.SDRW.ZS,,,,,,,19.3505,13.457,14.2972,16.8003,21.0694,22.1487,22.5991,22.6835,22.2878,21.4677,21.3976,21.7155,21.1474,20.6174,20.7455,20.2608,19.7452,19.6798,19.0611,,,,,,,,
Afghanistan,AFG       ,World,WLD,"Currency composition of PPG debt, Swiss franc (%)",DT.CUR.SWFR.ZS,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"Currency composition of PPG debt, U.S. dollars (%)",DT.CUR.USDL.ZS,,,,,,,72.1838,82.0077,82.6347,79.9623,75.3835,73.8642,73.2074,72.7916,72.119,71.5365,71.6963,71.4215,71.4005,70.7864,70.6726,71.0905,71.5724,71.5704,72.0254,,,,,,,,
Afghanistan,AFG       ,World,WLD,Current account balance (current US$),BN.CAB.XOKA.CD,,,,,,,1443529492.0,5423509063.0,-238376258.6,277627586.2,-577708206.8,-2246921171.0,-5150161881.0,-5095040597.0,-3232893168.0,-4192816423.0,-2708462935.0,-3554897942.0,-3896837604.0,-3791935256.0,-3136733353.0,,,,,,,,,,,,
Afghanistan,AFG       ,World,WLD,Debt buyback (current US$),DT.DSB.DPPG.CD,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
Afghanistan,AFG       ,World,WLD,Debt forgiveness grants (current US$),DT.DOD.MDRI.CD,,,,,,,,29530000.0,11360000.0,,107950000.0,,,7425954.0,10081341.0,10638268.0,6030864.0,4514521.0,8171983.0,4464365.0,15837369.0,4414210.0,4389140.0,5198130.0,,,,,,,,,
Afghanistan,AFG       ,World,WLD,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,,,,,,,0.0,-20190000.0,-41441240.3,-2337000.0,-202260182.1,0.0,0.0,-1143000.0,-3698000.0,-4301000.0,-4355000.0,-4329000.0,-4349000.0,-4334000.0,-4312000.0,-4256000.0,-4239000.0,-4949000.0,-6888000.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,,,,,,,9259252.2,4514050.9,7292000.0,9670000.0,8675000.0,9747904.9,9913738.5,11680274.6,21248292.7,27416416.2,30269882.9,30597878.7,32675060.7,32780041.6,28700402.1,19234000.0,12017000.0,13220000.0,35055000.0,121935300.3,117490734.6,113699471.3,110545885.5,110599981.4,106393417.6,60540198.2,60454483.3
Afghanistan,AFG       ,World,WLD,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,,,,,,,9259252.2,4514050.9,7292000.0,9670000.0,8675000.0,9747904.9,9913738.5,11680274.6,21248292.7,33686416.2,35219882.9,35877878.7,39785060.7,39807041.6,34557402.1,19234000.0,12017000.0,13220000.0,35055000.0,127504300.3,121437734.6,117110471.3,112608885.5,112221981.4,107596417.6,61512198.2,61207483.3
Afghanistan,AFG       ,World,WLD,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",DT.TDS.DPNG.CD,,,,,,,,,,,,,,,,6270000.0,4950000.0,5280000.0,7110000.0,7027000.0,5857000.0,,,,,5569000.0,3947000.0,3411000.0,2063000.0,1622000.0,1203000.0,972000.0,753000.0
Afghanistan,AFG       ,World,WLD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,,,,,,,9259252.2,4514050.9,7292000.0,9670000.0,8675000.0,9747904.9,9913738.5,11680274.6,21248292.7,27416416.2,30269882.9,30597878.7,32675060.7,32780041.6,28700402.1,19234000.0,12017000.0,13220000.0,35055000.0,121935300.3,117490734.6,113699471.3,110545885.5,110599981.4,106393417.6,60540198.2,60454483.3
Afghanistan,AFG       ,World,WLD,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,,,,,,,9259252.2,4514050.9,7292000.0,9670000.0,8675000.0,9747904.9,9913738.5,11680274.6,21248292.7,27416416.2,30269882.9,30597878.7,32675060.7,32780041.6,28700402.1,19234000.0,12017000.0,13220000.0,35055000.0,121935300.3,117490734.6,113699471.3,110545885.5,110599981.4,106393417.6,60540198.2,60454483.3
Afghanistan,AFG       ,World,WLD,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,,,,,,,10894252.3,6154687.8,8030776.5,10739033.8,10431611.1,10326866.7,14850800.8,25088493.4,42203307.6,56234850.6,59621162.6,63232789.7,63115845.8,55575662.9,45904311.7,25997304.5,26580940.3,43570332.3,67599109.7,156512292.9,206842090.8,214281501.3,207429610.0,204692400.4,176934607.6,75041601.1,61207483.3
Afghanistan,AFG       ,World,WLD,Debt stock reduction (current US$),DT.DSF.DPPG.CD,,,,,,,,13185000.0,,254000.0,72257000.0,,,,0.0,,,,,,,,,,,,,,,,,,
Afghanistan,AFG       ,World,WLD,Debt stock rescheduled (current US$),DT.DXR.DPPG.CD,,,,,,,56202000.0,17888000.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,
Afghanistan,AFG       ,World,WLD,"Disbursements on external debt, general government sector (PPG) (DIS, current US$)",DT.DIS.DEGG.CD,,,,,,,146434198.4,146982171.5,96400058.6,108774066.3,76001339.8,62241085.3,52077909.0,36630750.0,31740710.4,26037493.8,11669646.0,3241563.2,16323196.4,28590201.1,440209.2,0.0,0.0,0.0,0.0,,,,,,,,
